url,wp_type,new_route,lastmod,staleness,action,note,gsc_clicks,gsc_impressions,gsc_position,primary_intent,canonical_for_cluster
https://www.roarsinc.com/ui-ux-design-services-bristol/,page,/ui-ux-design-services-bristol/,,,keep,"UK city landing page, review for thin content",,,,,
https://www.roarsinc.com/product-development-agency-in-birmingham/,page,/product-development-agency-in-birmingham/,,,keep,"UK city landing page, review for thin content",,,,,
https://www.roarsinc.com/product-development-agency-in-london/,page,/product-development-agency-in-london/,,,keep,"UK city landing page, review for thin content",,,,,
https://www.roarsinc.com/product-development-agency-in-manchester/,page,/product-development-agency-in-manchester/,,,keep,"UK city landing page, review for thin content",,,,,
https://www.roarsinc.com/ui-and-ux-design-agency-birmingham/,page,/ui-and-ux-design-agency-birmingham/,,,keep,"UK city landing page, review for thin content",,,,,
https://www.roarsinc.com/ui-and-ux-design-agency-manchester/,page,/ui-and-ux-design-agency-manchester/,,,keep,"UK city landing page, review for thin content",,,,,
https://www.roarsinc.com/ui-ux-design-services-london/,page,/ui-ux-design-services-london/,,,keep,"UK city landing page, review for thin content",,,,,
https://www.roarsinc.com/vision-pro-app-development/,page,/vision-pro-app-development/,,,keep,,,,,,
https://www.roarsinc.com/terrapay-payment-api-integration-services/,page,/terrapay-payment-api-integration-services/,,,keep,,,,,,
https://www.roarsinc.com/schedule-ux-ui-meeting/,page,/schedule-ux-ui-meeting/,,,keep,,,,,,
https://www.roarsinc.com/privacy-policy/,page,/privacy-policy/,,,keep,,,,,,
https://www.roarsinc.com/thankyou/,page,/thankyou/,,,noindex,"utility page, remove from sitemap",,,,,
https://www.roarsinc.com/terms-of-service/,page,/terms-of-service/,,,keep,,,,,,
https://www.roarsinc.com/contact-us/,page,/contact-us/,,,keep,,,,,,
https://www.roarsinc.com/approach/,page,/approach/,,,keep,,,,,,
https://www.roarsinc.com/our-journal/,page,/our-journal/,,,keep,index page,,,,,
https://www.roarsinc.com/work/,page,/work/,,,keep,index page,,,,,
https://www.roarsinc.com/startup-consultant-services/,page,/startup-consultant-services/,,,keep,,,,,,
https://www.roarsinc.com/about-us/,page,/about-us/,,,keep,,,,,,
https://www.roarsinc.com/,page,/,,,keep,homepage,,,,,
https://www.roarsinc.com/s/ai-automation-services/,service,/s/ai-automation-services/,,,keep,,,,,,
https://www.roarsinc.com/s/web-app-development/,service,/s/web-app-development/,,,keep,,,,,,
https://www.roarsinc.com/s/user-experience-design-agency/,service,/s/user-experience-design-agency/,,,keep,,,,,,
https://www.roarsinc.com/s/result-oriented-devops-services/,service,/s/result-oriented-devops-services/,,,keep,,,,,,
https://www.roarsinc.com/s/product-development-company/,service,/s/product-development-company/,,,keep,,,,,,
https://www.roarsinc.com/s/mvp-development/,service,/s/mvp-development/,,,keep,,,,,,
https://www.roarsinc.com/s/mobile-app-development/,service,/s/mobile-app-development/,,,keep,,,,,,
https://www.roarsinc.com/s/innovation-design-company/,service,/s/innovation-design-company/,,,keep,,,,,,
https://www.roarsinc.com/s/hire-dedicated-developers/,service,/s/hire-dedicated-developers/,,,keep,,,,,,
https://www.roarsinc.com/s/growth-hacking-agency/,service,/s/growth-hacking-agency/,,,keep,,,,,,
https://www.roarsinc.com/s/ecommerce-development-company/,service,/s/ecommerce-development-company/,,,keep,,,,,,
https://www.roarsinc.com/s/digital-business-transformation-services/,service,/s/digital-business-transformation-services/,,,keep,,,,,,
https://www.roarsinc.com/industries/healthcare-app-development-company/,industries,/industries/healthcare-app-development-company/,2025-08-26,bulk-edit-only,keep,,,,,,
https://www.roarsinc.com/industries/education-mobile-app-development/,industries,/industries/education-mobile-app-development/,,,keep,,,,,,
https://www.roarsinc.com/industries/logistics-transportation-app-development/,industries,/industries/logistics-transportation-app-development/,,,keep,,,,,,
https://www.roarsinc.com/industries/concierge-app-development/,industries,/industries/concierge-app-development/,,,keep,,,,,,
https://www.roarsinc.com/industries/travel-and-hospitality-app-development/,industries,/industries/travel-and-hospitality-app-development/,,,keep,,,,,,
https://www.roarsinc.com/industries/retail-ecommerce-development/,industries,/industries/retail-ecommerce-development/,,,keep,,,,,,
https://www.roarsinc.com/industries/on-demand-fitness-app-development/,industries,/industries/on-demand-fitness-app-development/,,,keep,,,,,,
https://www.roarsinc.com/industries/saas-application-development-services/,industries,/industries/saas-application-development-services/,,,keep,,,,,,
https://www.roarsinc.com/industries/food-restaurant-app-development/,industries,/industries/food-restaurant-app-development/,,,keep,,,,,,
https://www.roarsinc.com/resources/problem-definition/,free_stuff,/resources/problem-definition/,,,keep,,,,,,
https://www.roarsinc.com/resources/pitching-checklist/,free_stuff,/resources/pitching-checklist/,,,keep,,,,,,
https://www.roarsinc.com/resources/evidence-planning/,free_stuff,/resources/evidence-planning/,,,keep,,,,,,
https://www.roarsinc.com/resources/swot-analysis/,free_stuff,/resources/swot-analysis/,,,keep,,,,,,
https://www.roarsinc.com/resources/innovation-flowchart/,free_stuff,/resources/innovation-flowchart/,,,keep,,,,,,
https://www.roarsinc.com/resources/business-model-canvas/,free_stuff,/resources/business-model-canvas/,,,keep,,,,,,
https://www.roarsinc.com/resources/learning-loop/,free_stuff,/resources/learning-loop/,,,keep,,,,,,
https://www.roarsinc.com/resources/building-partnerships/,free_stuff,/resources/building-partnerships/,,,keep,,,,,,
https://www.roarsinc.com/resources/website-redesign-roi-calculator/,free_stuff,/resources/website-redesign-roi-calculator/,,,keep,,,,,,
https://www.roarsinc.com/resources/product-solution-benefit/,free_stuff,/resources/product-solution-benefit/,,,keep,,,,,,
https://www.roarsinc.com/resources/value-proposition/,free_stuff,/resources/value-proposition/,,,keep,,,,,,
https://www.roarsinc.com/resources/business-plan/,free_stuff,/resources/business-plan/,,,keep,,,,,,
https://www.roarsinc.com/resources/target-group/,free_stuff,/resources/target-group/,,,keep,,,,,,
https://www.roarsinc.com/resources/prototype-testing-plan/,free_stuff,/resources/prototype-testing-plan/,,,keep,,,,,,
https://www.roarsinc.com/resources/people-connection-map/,free_stuff,/resources/people-connection-map/,,,keep,,,,,,
https://www.roarsinc.com/work/warehouse-compliance-checklist-app/,post(work),/work/warehouse-compliance-checklist-app/,,,keep,,,,,,
https://www.roarsinc.com/work/parqly-parking-solution/,post(work),/work/parqly-parking-solution/,,,keep,,,,,,
https://www.roarsinc.com/work/concierge-loyalty-program/,post(work),/work/concierge-loyalty-program/,,,keep,,,,,,
https://www.roarsinc.com/work/advisee/,post(work),/work/advisee/,,,keep,,,,,,
https://www.roarsinc.com/work/companyguru/,post(work),/work/companyguru/,,,keep,,,,,,
https://www.roarsinc.com/work/gymbait/,post(work),/work/gymbait/,,,keep,,,,,,
https://www.roarsinc.com/work/ventura-law-firm/,post(work),/work/ventura-law-firm/,,,keep,,,,,,
https://www.roarsinc.com/work/gisaid-health-tech/,post(work),/work/gisaid-health-tech/,,,keep,,,,,,
https://www.roarsinc.com/work/the-presidents-club/,post(work),/work/the-presidents-club/,,,keep,,,,,,
https://www.roarsinc.com/work/411drives-on-demand-car-loan-app/,post(work),/work/411drives-on-demand-car-loan-app/,,,keep,,,,,,
https://www.roarsinc.com/work/gypsy/,post(work),/work/gypsy/,,,keep,,,,,,
https://www.roarsinc.com/work/blelp/,post(work),/work/blelp/,,,keep,,,,,,
https://www.roarsinc.com/work/flowrow-fitness-app/,post(work),/work/flowrow-fitness-app/,,,keep,,,,,,
https://www.roarsinc.com/work/super-social/,post(work),/work/super-social/,,,keep,,,,,,
https://www.roarsinc.com/work/community-social-residential-community-app/,post(work),/work/community-social-residential-community-app/,,,keep,,,,,,
